overall	high_tfx	low_tfx
0.85385	0.85449	0.85714
0.85346	0.87374	0.84000
0.86607	0.88500	0.75000
0.90769	0.94048	0.59091
0.89498	0.92105	0.80000
0.90598	0.94722	0.75926
0.92901	0.94737	0.91667
0.87069	0.91111	0.81481
0.87135	0.91036	0.75000
0.82770	0.82331	0.87500
0.88043	0.88756	0.87500
0.85467	0.86000	0.82222
0.89815	0.91270	0.87500
0.79704	0.88947	0.41667
0.93006	0.97368	0.69444
0.76840	0.78431	0.71111
0.90303	0.89697	0.98214
0.91137	0.94427	0.72222
0.79826	0.87451	0.56667
0.88622	0.88487	0.91071
0.89506	0.93213	0.82000
0.90385	0.92000	0.85185
0.87798	0.88021	0.90625
0.85091	0.85714	0.86111
0.86286	0.91022	0.71212
0.93889	0.97222	0.75000
0.87946	0.93275	0.72000
0.90431	0.90476	0.90000
0.93676	0.96140	0.85714
0.84167	0.87879	0.75000
0.90833	0.91830	0.89796
0.83156	0.87105	0.68254
0.90204	0.97119	0.80208
0.76818	0.79231	0.76923
0.92042	0.92029	0.86667
0.87074	0.93189	0.78462
0.77083	0.84314	0.54762
0.85920	0.88095	0.74074
0.95556	0.94678	1.00000
0.95791	1.00000	0.71111
0.89397	0.88909	0.96667
0.90172	0.89145	0.92500
0.91204	0.91319	0.91667
0.91848	0.93529	0.87500
0.87238	0.88077	0.83333
0.93333	0.98400	0.69091
0.88624	0.95238	0.66667
0.85256	0.90281	0.75000
0.82500	0.88312	0.66667
0.90300	0.90909	0.92000
0.83540	0.90000	0.66667
0.90301	0.94771	0.64444
0.93500	0.94866	0.94444
0.92391	0.92517	0.96825
0.89286	0.92333	0.80556
0.83654	0.84188	0.85714
0.93162	0.93864	0.96429
0.92262	0.96753	0.76667
0.89648	0.95909	0.76667
0.90875	0.92547	0.90909
0.91270	0.90833	0.94444
0.84423	0.87937	0.57500
0.93452	0.96842	0.83077
0.95491	0.96491	0.95833
0.92105	0.90333	1.00000
0.95833	0.97024	0.92593
0.87461	0.90642	0.74286
0.89793	0.89474	0.96429
0.90105	0.90159	0.93750
0.87097	0.92368	0.72727
0.91558	0.93048	0.90000
0.87179	0.94853	0.71111
0.89984	0.89223	1.00000
0.89130	0.95489	0.65625
0.92803	0.94097	1.00000
0.83631	0.84503	0.96429
0.90230	0.92381	0.79167
0.93939	0.92800	1.00000
0.90185	0.95156	0.66667
0.82923	0.85789	0.88889
0.86657	0.92778	0.88636
0.89161	0.92083	0.81818
0.89714	0.92000	0.80000
0.91333	0.95578	0.84848
0.87051	0.92244	0.70130
0.89800	0.91503	0.93750
0.85333	0.86687	0.76667
0.83676	0.85354	0.68889
0.90035	0.95679	0.62500
0.86111	0.89394	0.69697
0.87500	0.90374	0.75000
0.97962	0.98000	0.97222
0.92465	0.94976	0.88000
0.91472	0.96154	0.77500
0.90227	0.90441	1.00000
0.90741	0.94408	0.81250
0.82126	0.88333	0.57143
0.90217	0.95238	0.78750
0.87574	0.91176	0.75926
0.86801	0.88333	0.82500
0.88793	0.92500	0.77778
0.98124	0.98210	1.00000
0.86207	0.88131	0.85455
0.79688	0.82323	0.70000
0.85303	0.88889	0.66667
0.92012	0.92500	0.88333
0.89967	0.93609	0.87500
0.90844	0.93802	0.79592
0.90081	0.92735	0.77083
0.94391	0.94722	0.94444
0.93344	0.97744	0.71429
0.79456	0.80342	0.77778
0.79967	0.79474	0.88889
0.90862	0.94375	0.72222
0.88272	0.92982	0.62500
0.96450	0.97778	0.91667
0.91833	0.94048	0.80000
0.92560	0.92982	0.92000
0.92960	0.99306	0.69841
0.88285	0.91304	0.77500
0.89615	0.96053	0.68571
0.89161	0.90441	0.86000
0.89143	0.91111	0.85000
0.94841	0.98747	0.77778
0.90891	0.90370	0.96875
0.87896	0.88469	0.84848
0.89615	0.92157	0.87879
0.90727	0.96540	0.67500
0.88333	0.91304	0.79592
0.87054	0.89975	0.70370
0.87037	0.87778	0.80556
0.86834	0.89572	0.80556
0.87500	0.91228	0.70000
0.96207	0.96594	1.00000
0.85273	0.90461	0.64286
0.95186	0.99722	0.62500
0.83857	0.86471	0.87273
0.88359	0.91304	0.75000
0.88690	0.92398	0.76000
0.87714	0.89000	0.82500
0.84696	0.97685	0.50649
0.86080	0.87701	0.80000
0.88474	0.93421	0.88889
0.85140	0.86068	0.88889
0.88975	0.91071	0.83673
0.86869	0.88148	0.84444
0.92995	0.94498	0.95238
0.86000	0.91228	0.61224
0.89256	0.92677	0.84091
0.85714	0.87879	0.77500
0.90476	0.95635	0.75714
0.85484	0.90196	0.77381
0.90290	0.93048	0.75000
0.94649	0.94118	0.96296
0.94727	0.97656	0.85185
0.88194	0.91204	0.77778
0.86304	0.89931	0.64286
0.84046	0.90476	0.71212
0.86378	0.88889	0.72222
0.89193	0.93095	0.79545
0.87304	0.88889	0.80000
0.89600	0.90618	0.83333
0.91111	0.94022	0.83333
0.88142	0.89167	0.76667
0.88889	0.91562	0.71429
0.92473	0.96591	0.66667
0.93500	0.93333	0.96667
0.89904	0.91388	0.80000
0.89355	0.92982	0.84091
0.77778	0.80370	0.71717
0.87659	0.87647	0.88889
0.90805	0.92157	0.81818
0.90058	0.94762	0.81667
0.88235	0.91875	0.77551
0.84000	0.88021	0.72222
0.87130	0.88611	0.77083
0.86863	0.87912	0.88889
0.88889	0.90461	0.90909
0.88462	0.89825	0.82857
0.93573	0.96218	0.87037
0.88615	0.92368	0.77778
0.89583	0.93750	0.65000
0.92432	0.92584	0.93651
0.86043	0.89846	0.62500
0.92308	0.93529	0.80556
0.92007	0.92698	0.90476
0.91840	0.94035	0.77778
0.92042	0.93939	0.85714
0.92475	0.93947	0.85714
0.93621	0.93789	0.91667
0.90065	0.92547	0.75000
0.85846	0.86842	0.80000
0.92000	0.97826	0.75000
0.91818	0.92708	0.92857
0.87963	0.87353	0.92500
0.97077	0.97661	1.00000
0.85484	0.88820	0.78125
